model,trials,lru_tps,score_prefetch_tps,tps_change_pct,lru_hit_rate_pct,score_prefetch_hit_rate_pct,score_prefetches,exact_hash_matches
qwen1,3,13.03,15.67,20.26,22.06,22.17,150,5/5
deepseek,3,11.63,10.53,-9.46,34.22,34.29,81,5/5
