model,lru_tps,predictor_tps,tps_change_pct,lru_hit_rate_pct,predictor_hit_rate_pct,lru_transfer_mb,predictor_transfer_mb,predictor_prefetches,predictor_hits,peak_vram_mb
qwen1,12.33,16.5,33.82,19.84,19.87,25404.79,25467.41,50,9,2646
deepseek,11.1,10.97,-1.17,29.52,29.64,39338.86,39504.04,130,61,2898
