model,trials,lru_tps,gpu_page_tps,tps_change_pct,lru_vram_mb,gpu_page_vram_mb,gpu_page_hit_calls,gpu_page_miss_calls,exact_hash_matches
qwen1,3,12.47,15.23,22.13,2644,2644,141,5437,5/5
deepseek,3,10.93,10.27,-6.04,2896,2896,113,4987,5/5
